ce10_DNASEQ	ce10AdaptPhiX
ce10_MRNASEQ_36	ce10WBTransRad32Num100kMin10AdaptPhiX
ce10_MRNASEQ_50	ce10WBTransRad46Num100kMin10AdaptPhiX
ce10_MRNASEQ_72	ce10WBTransRad68Num100kMin10AdaptPhiX
ce10_MRNASEQ_101	ce10WBTransRad97Num100kMin10AdaptPhiX
ce6_MRNASEQ_101	ce6EnsTransRad97Num100kMin10SplicesChrPhiXAdaptr
dm3_MRNASEQ_50	dm3EnsTransRad46Num100kMin10SplicesChrPhiXAdaptr
dm3_DNASEQ	dm3PhiXAdaptr
hg18_MRNASEQ_36	hg18EnsTransRad32Num100kMin10SplicesChrPhiXAdaptr
hg18_BISSEQ	hg18NormChrLambPhiAdapt
hg18_DNASEQ	hg18
hg18_MRNASEQ_50	hg18UCSCRefFlatRad46Num100kMin10SplicesAdaperPhiX
hg19_MRNASEQ_35	hg19EnsTransRad31Num100kMin10SplicesChrPhiXAdaptr
hg19_MRNASEQ_45	hg19EnsTransRad41Num100kMin10SplicesChrPhiXAdaptr
hg19_MRNASEQ_50	hg19EnsTransRad46Build74AdaptPhiX_SingleCellRNASpikes
hg19_MRNASEQ_101	hg19EnsGeneTableRad97Num10kMin10Splices
hg19_BISSEQ	hg19NormChrLambPhiAdapt
hg19_DNASEQ	hg19
hg38_MRNASEQ_50	hg38RefSeqNoOddChromsRad46Num100kMin10Splices
hg38_MRNASEQ_101	hg38RefSeqNoOddChromsRad97Num10kMin10Splices
hg38_BISSEQ	hg38RefSeqNoOddChromsChrLambPhiAdapt
hg38_DNASEQ	hg38RefSeqNoOddChroms
HIV_DNASEQ	HIV
mm10_MRNASEQ_50	mm10EnsTrans46bpNum100kMin10SplicesChrNormPhiXAdaptrEns74
mm10_MRNASEQ_101	mm10EnsRad97Num10kMin10Splices
mm10_DNASEQ	mm10
mm9_MRNASEQ_36	mm9EnsTransRad32Num100kMin10SplicesChrPhiXAdaptr
mm9_MRNASEQ_50	mm9EnsTransRad46Num100kMin10SplicesChrPhiXAdaptr
mm9_MRNASEQ_60	mm9EnsTransRad56Num100kMin10SplicesChrPhiXAdaptr
mm9_MRNASEQ_101	mm9EnsTransRad97Num10kMin10SplicesChrPhiXAdaptr
mm9_BISSEQ	mm9NormChromAdaptLambPhi
mm9_DNASEQ	mm9NormChromAdaptLambPhi
rn4_MRNASEQ_50	rn4EnsTransRad46Num100kMin10SplicesChrPhiXAdaptr
rn4_DNASEQ	rn4
rn5_MRNASEQ_50	rn5RefSeqTransRad46Num100kMin10SplicesChrPhiXAdaptr
SacCer3_DNASEQ	SacCer3
sp07_MRNASEQ_50	sp07EnsTransRad46bpSplices
spombe_DNASEQ	spombe
zv9_BISSEQ	zv9AllStdChrLambPhiAdaptr
zv9_DNASEQ	zv9AllStdChrLambPhiAdaptr
zv9_MRNASEQ_36	zv9EnsTransRad32Num100kMin10SplicesChrPhiXAdaptr
zv9_MRNASEQ_50	zv9EnsTransRad46Num100kMin10SplicesChrPhiXAdaptrRNASpikes_eGFP_mCherry.01-09-15
zv9_MRNASEQ_125	zv9EnsTransRad121Num10kMin10SplicesChrPhiXAdaptrNoOddChroms.01-13-15
zv10_MRNASEQ_50 zv10EnsGeneAllStdChrRad46Num100kMin10Splices
zv10_MRNASEQ_125        zv10EnsGeneAllStdChrRad121Num10kMin10Splices

